convention,gbar_m_s2,exact_gobs_m_s2,exact_gobs_std_diagonal,exact_cross_gobs_m_s2,exact_cross_std_diagonal,raw_sis_gobs_m_s2,raw_sis_cross_gobs_m_s2,mistele2024_gobs_m_s2
east_ccw_catalog_e2_as_math,3.8904514499428045e-12,2.24273997897709e-12,2.9140266156879245e-12,1.3639076665284413e-12,2.9140266156879245e-12,2.3371835018203256e-12,2.2631676408108318e-12,2.2387211385683377e-11
east_ccw_catalog_e2_sign_flipped,1.3803842646028866e-15,1.4053112584374778e-13,6.128518911593133e-14,6.206133117566421e-14,6.128518911593133e-14,3.554167280953169e-13,1.1946324592631288e-13,1.4125375446227554e-13
east_ccw_catalog_e2_sign_flipped,2.4547089156850336e-15,3.595199521571029e-13,8.138646205076797e-14,1.4290963432352602e-13,8.138646205076797e-14,4.270247009789419e-13,1.9405367061663444e-13,3.630780547701018e-13
east_ccw_catalog_e2_sign_flipped,4.2657951880159345e-15,6.01763083251676e-13,1.0657546825130938e-13,1.7074841299324195e-13,1.0657546825130938e-13,7.374737450713654e-13,1.3974518798826528e-13,5.370317963702532e-13
east_ccw_catalog_e2_sign_flipped,7.585775750291851e-15,1.0130657604752311e-12,1.4086307015209794e-13,1.8188780312998506e-13,1.4086307015209794e-13,1.1143515337894276e-12,1.3026054981648092e-13,8.317637711026708e-13
east_ccw_catalog_e2_sign_flipped,1.3489628825916561e-14,1.4060705525341306e-12,1.860790541751957e-13,1.7015255044253713e-13,1.860790541751957e-13,1.4071607363361382e-12,1.3189345069528115e-13,1.1748975549395304e-12
east_ccw_catalog_e2_sign_flipped,2.344228815319918e-14,2.1456052884789273e-12,2.4326234688699943e-13,2.8305748892418794e-13,2.4326234688699943e-13,2.3768925975178453e-12,2.94770012616112e-13,1.7378008287493763e-12
east_ccw_catalog_e2_sign_flipped,4.168693834703347e-14,2.923029964389042e-12,3.2218744362878255e-13,1.0349893383809549e-13,3.2218744362878255e-13,2.842122354005172e-12,-1.8375864783734896e-13,2.5703957827688646e-12
east_ccw_catalog_e2_sign_flipped,7.413102413009162e-14,4.179489950014498e-12,4.276147095371022e-13,-4.9695701934002473e-14,4.276147095371022e-13,4.462861959650772e-12,-1.1235152524219877e-14,3.3884415613920204e-12
east_ccw_catalog_e2_sign_flipped,1.2882495516931323e-13,5.68487047706846e-12,5.624573100362777e-13,5.945699889711283e-13,5.624573100362777e-13,5.5298777127330575e-12,8.757930768779029e-13,5.128613839913659e-12
east_ccw_catalog_e2_sign_flipped,2.29086765276777e-13,7.106740976410782e-12,7.491143023145391e-13,5.67617741096382e-13,7.491143023145391e-13,6.481554779297961e-12,-1.5822289370091845e-13,6.16595001861481e-12
east_ccw_catalog_e2_sign_flipped,4.073802778041122e-13,8.93750886408402e-12,9.945176581695778e-13,1.2885782900183288e-13,9.945176581695778e-13,8.169122338522509e-12,-3.547855905420964e-13,7.762471166286927e-12
east_ccw_catalog_e2_sign_flipped,7.079457843841374e-13,1.1168959323692537e-11,1.2958225117774247e-12,3.564003461738891e-13,1.2958225117774247e-12,1.0754208776668455e-11,5.351614157033754e-13,1e-11
east_ccw_catalog_e2_sign_flipped,1.258925411794166e-12,1.4499554051097507e-11,1.6966188892629635e-12,1.0910604939058697e-12,1.6966188892629635e-12,1.3262759962293933e-11,1.4610854344188293e-12,1.3182567385564048e-11
east_ccw_catalog_e2_sign_flipped,2.238721138568338e-12,1.8235760721809766e-11,2.2232579281726908e-12,1.9807718015155593e-12,2.2232579281726908e-12,1.6493751076865455e-11,1.5795391801429828e-12,1.659586907437563e-11
east_ccw_catalog_e2_sign_flipped,3.8904514499428045e-12,2.3080070405280758e-11,2.9140266156879245e-12,1.830254776052105e-12,2.9140266156879245e-12,2.243604534099627e-11,2.015859642529972e-12,2.2387211385683377e-11
north_ccw_catalog_e2_as_math,1.3803842646028866e-15,-1.4053112584374778e-13,6.128518911593133e-14,6.206133117566421e-14,6.128518911593133e-14,-3.554167280953169e-13,1.1946324592631288e-13,1.4125375446227554e-13
north_ccw_catalog_e2_as_math,2.4547089156850336e-15,-3.595199521571029e-13,8.138646205076797e-14,1.4290963432352602e-13,8.138646205076797e-14,-4.270247009789419e-13,1.9405367061663444e-13,3.630780547701018e-13
north_ccw_catalog_e2_as_math,4.2657951880159345e-15,-6.01763083251676e-13,1.0657546825130938e-13,1.7074841299324195e-13,1.0657546825130938e-13,-7.374737450713654e-13,1.3974518798826528e-13,5.370317963702532e-13
north_ccw_catalog_e2_as_math,7.585775750291851e-15,-1.0130657604752311e-12,1.4086307015209794e-13,1.8188780312998506e-13,1.4086307015209794e-13,-1.1143515337894276e-12,1.3026054981648092e-13,8.317637711026708e-13
north_ccw_catalog_e2_as_math,1.3489628825916561e-14,-1.4060705525341306e-12,1.860790541751957e-13,1.7015255044253713e-13,1.860790541751957e-13,-1.4071607363361382e-12,1.3189345069528115e-13,1.1748975549395304e-12
north_ccw_catalog_e2_as_math,2.344228815319918e-14,-2.1456052884789273e-12,2.4326234688699943e-13,2.8305748892418794e-13,2.4326234688699943e-13,-2.3768925975178453e-12,2.94770012616112e-13,1.7378008287493763e-12
north_ccw_catalog_e2_as_math,4.168693834703347e-14,-2.923029964389042e-12,3.2218744362878255e-13,1.0349893383809549e-13,3.2218744362878255e-13,-2.842122354005172e-12,-1.8375864783734896e-13,2.5703957827688646e-12
north_ccw_catalog_e2_as_math,7.413102413009162e-14,-4.179489950014498e-12,4.276147095371022e-13,-4.9695701934002473e-14,4.276147095371022e-13,-4.462861959650772e-12,-1.1235152524219877e-14,3.3884415613920204e-12
north_ccw_catalog_e2_as_math,1.2882495516931323e-13,-5.68487047706846e-12,5.624573100362777e-13,5.945699889711283e-13,5.624573100362777e-13,-5.5298777127330575e-12,8.757930768779029e-13,5.128613839913659e-12
north_ccw_catalog_e2_as_math,2.29086765276777e-13,-7.106740976410782e-12,7.491143023145391e-13,5.67617741096382e-13,7.491143023145391e-13,-6.481554779297961e-12,-1.5822289370091845e-13,6.16595001861481e-12
north_ccw_catalog_e2_as_math,4.073802778041122e-13,-8.93750886408402e-12,9.945176581695778e-13,1.2885782900183288e-13,9.945176581695778e-13,-8.169122338522509e-12,-3.547855905420964e-13,7.762471166286927e-12
north_ccw_catalog_e2_as_math,7.079457843841374e-13,-1.1168959323692537e-11,1.2958225117774247e-12,3.564003461738891e-13,1.2958225117774247e-12,-1.0754208776668455e-11,5.351614157033754e-13,1e-11
north_ccw_catalog_e2_as_math,1.258925411794166e-12,-1.4499554051097507e-11,1.6966188892629635e-12,1.0910604939058697e-12,1.6966188892629635e-12,-1.3262759962293933e-11,1.4610854344188293e-12,1.3182567385564048e-11
north_ccw_catalog_e2_as_math,2.238721138568338e-12,-1.8235760721809766e-11,2.2232579281726908e-12,1.9807718015155593e-12,2.2232579281726908e-12,-1.6493751076865455e-11,1.5795391801429828e-12,1.659586907437563e-11
north_ccw_catalog_e2_as_math,3.8904514499428045e-12,-2.3080070405280758e-11,2.9140266156879245e-12,1.830254776052105e-12,2.9140266156879245e-12,-2.243604534099627e-11,2.015859642529972e-12,2.2387211385683377e-11
north_ccw_catalog_e2_sign_flipped,1.3803842646028866e-15,5.1933961671316736e-15,6.128518911593133e-14,-7.43718669123016e-14,6.128518911593133e-14,-5.721517834783075e-14,-1.3615736542862424e-13,1.4125375446227554e-13
north_ccw_catalog_e2_sign_flipped,2.4547089156850336e-15,-3.285784966343023e-14,8.138646205076797e-14,-2.438008492800821e-14,8.138646205076797e-14,-5.133771934032312e-14,1.0039879255702689e-13,3.630780547701018e-13
north_ccw_catalog_e2_sign_flipped,4.2657951880159345e-15,-2.3288199497036518e-14,1.0657546825130938e-13,7.29664116369725e-14,1.0657546825130938e-13,-2.5831313656520498e-14,1.6317300817213476e-13,5.370317963702532e-13
north_ccw_catalog_e2_sign_flipped,7.585775750291851e-15,-8.754133737415212e-14,1.4086307015209794e-13,1.347730336401993e-13,1.4086307015209794e-13,-1.47390525752809e-13,1.3623906815788868e-13,8.317637711026708e-13
north_ccw_catalog_e2_sign_flipped,1.3489628825916561e-14,-1.1083932175567273e-13,1.860790541751957e-13,7.010318868475414e-14,1.860790541751957e-13,-7.009580829744227e-14,5.209959768580025e-14,1.1748975549395304e-12
north_ccw_catalog_e2_sign_flipped,2.344228815319918e-14,-1.412098541658595e-13,2.4326234688699943e-13,3.60608916506789e-13,2.4326234688699943e-13,-1.7153024749222153e-13,6.159202813324613e-13,1.7378008287493763e-12
north_ccw_catalog_e2_sign_flipped,4.168693834703347e-14,-1.8915304426534071e-13,3.2218744362878255e-13,3.3948960113897774e-13,3.2218744362878255e-13,-2.1441490789475815e-13,2.314982310652662e-13,2.5703957827688646e-12
north_ccw_catalog_e2_sign_flipped,7.413102413009162e-14,-4.282180950599779e-13,4.276147095371022e-13,4.4369794182710885e-13,4.276147095371022e-13,-4.0987505093755443e-13,5.037931226592346e-13,3.3884415613920204e-12
north_ccw_catalog_e2_sign_flipped,1.2882495516931323e-13,-1.1746485184139566e-13,5.624573100362777e-13,2.904063129611432e-13,5.624573100362777e-13,1.0293377819346003e-13,1.7760380572261336e-13,5.128613839913659e-12
north_ccw_catalog_e2_sign_flipped,2.29086765276777e-13,-2.616260525938098e-13,7.491143023145391e-13,5.76818280491085e-13,7.491143023145391e-13,1.3613626300579267e-13,8.163876255570841e-13,6.16595001861481e-12
north_ccw_catalog_e2_sign_flipped,4.073802778041122e-13,-7.249045867997524e-13,9.945176581695778e-13,9.437174448054557e-14,9.945176581695778e-13,-1.1852380687434456e-12,-4.829036991468596e-13,7.762471166286927e-12
north_ccw_catalog_e2_sign_flipped,7.079457843841374e-13,-1.0573954190324471e-12,1.2958225117774247e-12,1.081975286087259e-12,1.2958225117774247e-12,-6.699759637324443e-13,1.9929571430508415e-12,1e-11
north_ccw_catalog_e2_sign_flipped,1.258925411794166e-12,-9.045000813410681e-13,1.6966188892629635e-12,2.1009753816509626e-12,1.6966188892629635e-12,-6.106845339873137e-13,2.89130194765613e-12,1.3182567385564048e-11
north_ccw_catalog_e2_sign_flipped,2.238721138568338e-12,-1.7577946237374796e-12,2.2232579281726908e-12,2.3131937786896075e-12,2.2232579281726908e-12,-1.908118896239402e-13,2.098715132674049e-12,1.659586907437563e-11
north_ccw_catalog_e2_sign_flipped,3.8904514499428045e-12,-2.24273997897709e-12,2.9140266156879245e-12,1.3639076665284413e-12,2.9140266156879245e-12,-2.3371835018203256e-12,2.2631676408108318e-12,2.2387211385683377e-11
